Id,Name,Author,Year,Genre,Price (EUR)
28,Sapiens,Yuval Noah Harari,2011,Non-Fiction,15.25
12,1984,George Orwell,1949,Dystopian,9.4
23,All the Light We Cannot See,Anthony Doerr,2014,Historical Fiction,12.95
21,To Kill a Mockingbird,Harper Lee,1960,Historical Fiction,11.1
11,The Hunger Games,Suzanne Collins,2008,Dystopian,10.75
4,Children of Blood and Bone,Tomi Adeyemi,2018,Fantasy,11.25
22,Homegoing,Yaa Gyasi,2016,Historical Fiction,13.4
19,A Man Called Ove,Fredrik Backman,2012,Contemporary Fiction,12.25
29,The Cold War,John Lewis Gaddis,2005,Non-Fiction,10.95
7,The Fault in Our Stars,John Green,2012,Romance,9.75
5,An Ember in the Ashes,Sabaa Tahir,2015,Fantasy,10.85
13,Fahrenheit 451,Ray Bradbury,1953,Dystopian,10.1
2,The Lord of the Rings,J.R.R. Tolkien,1954,Fantasy,22.5
